ins,model,time,groundsize
insttri200_25_2,0+,199.995,2761
insttri200_31_10,1+,8.944,2709
insttri200_31_8,1+,0.928,2709
insttri200_33_1,0+,199.996,2745
insttri200_41_1,0+,199.996,2729
insttri200_41_2,1+,48.212,2729
insttri200_41_3,1+,44.208,2689
insttri200_49_1,0+,199.996,2713
insttri200_49_2,1+,5.265,2713
insttri200_51_1,1+,29.827,2669
insttri200_51_10,1+,3.276,2669
insttri200_51_5,1+,0.087,2669
insttri200_51_6,1+,0.193,2669
insttri200_51_9,1+,48.731,2669
insttri200_57_1,0+,199.994,2697
insttri200_57_2,0+,199.995,2697
insttri200_61_10,1+,57.620,2649
insttri200_65_1,1+,34.151,2681
insttri200_65_2,0+,199.995,2681
insttri200_71_10,1+,0.247,2629
insttri200_71_3,0+,199.996,2629
insttri200_73_1,1+,164.425,2665
insttri200_73_2,1+,0.232,2665
insttri200_81_1,1+,7.069,2649
insttri200_81_10,1+,22.046,2609
insttri200_81_2,0+,199.996,2649
insttri200_81_8,1+,58.920,2609
insttri200_81_9,0+,199.995,2609
insttri200_89_1,0+,199.995,2633
insttri200_9_1,1+,130.428,2793
insttri200_91_5,0+,199.996,2589
insttri200_91_6,1+,1.344,2589
insttri200_9_2,1+,113.267,2793
insttri2010_141_0,1+,5.711,3365
insttri2010_181_6,1+,3.704,3285
insttri2010_191_7,1+,33.296,3264
insttri2010_191_9,0+,199.995,3265
insttri2010_271_2,1+,24.920,3104
insttri2010_291_0,0+,199.995,3065
insttri2010_301_4,0+,199.995,3046
