ins,model,time,groundsize
insttri320_81_1,1+,39.854,5549
insttri320_81_2,1+,19.253,5548
insttri320_89_1,1+,6.901,5533
insttri320_89_2,1+,2.554,5533
insttri320_9_1,1+,4.313,5693
insttri320_9_2,1+,3.900,5693
insttri360_1_1,1+,16.755,6705
insttri360_1_2,1+,2.532,6705
insttri360_17_1,1+,2.797,6673
insttri360_17_2,1+,29.299,6673
insttri360_25_1,1+,0.872,6657
insttri360_25_2,1+,20.818,6657
insttri360_33_1,1+,6.218,6641
insttri360_33_2,1+,66.274,6641
insttri360_41_1,1+,0.344,6625
insttri360_41_2,1+,39.400,6625
insttri360_49_1,0+,199.987,6609
insttri360_49_2,0,0.013,6607
insttri360_57_1,1+,12.035,6593
insttri360_57_2,1+,43.289,6593
insttri360_65_1,1+,17.454,6577
insttri360_65_2,0+,199.988,6577
insttri360_73_1,1+,2.950,6561
insttri360_73_2,1+,132.385,6561
insttri360_81_1,1+,1.215,6545
insttri360_81_2,0+,199.988,6545
insttri360_89_1,1+,19.299,6528
insttri360_89_2,0+,199.987,6529
insttri360_9_1,1+,111.386,6689
insttri360_9_2,1+,16.221,6689
insttri400_1_1,1+,55.406,7233
insttri400_1_2,1+,36.670,7233
insttri400_17_1,0+,199.988,7201
insttri400_17_2,1+,14.048,7201
insttri400_25_1,1+,84.233,7185
insttri400_25_2,1+,18.269,7185
insttri400_33_1,1+,16.015,7169
insttri400_33_2,1+,0.149,7169
insttri400_41_1,1+,39.035,7153
insttri400_41_2,1+,42.585,7152
insttri400_49_1,1+,3.201,7137
insttri400_49_2,1+,40.197,7137
insttri400_57_1,1+,38.031,7121
insttri400_57_2,1+,136.994,7121
insttri400_65_1,0+,199.987,7105
insttri400_65_2,0+,199.989,7104
insttri400_73_1,1+,22.503,7089
insttri400_73_2,1+,61.882,7089
insttri400_81_1,0+,199.988,7072
insttri400_81_2,1+,62.824,7073
insttri400_89_1,0+,199.988,7056
insttri400_89_2,0+,199.988,7056
insttri400_9_1,1+,44.261,7217
insttri400_9_2,1+,108.791,7217
insttrapezioid_25_15_105_4.csv,1+,64.928,9015
insttrapezioid_25_15_120_3.csv,1+,103.892,8987
insttrapezioid_25_15_165_4.csv,1+,152.025,8895
insttrapezioid_25_15_170_2.csv,1+,95.494,8885
insttrapezioid_30_10_110_0.csv,1+,142.082,6325
insttrapezioid_30_10_115_3.csv,1+,86.932,6316
insttrapezioid_30_10_130_2.csv,1+,110.984,6286
insttrapezioid_30_10_140_0.csv,1+,91.544,6265
insttrapezioid_30_10_150_4.csv,1+,109.782,6246
insttrapezioid_30_10_155_1.csv,1+,66.250,6235
insttrapezioid_30_10_155_4.csv,1+,90.236,6235
insttrapezioid_30_10_160_4.csv,1+,94.380,6225
insttrapezioid_30_10_170_4.csv,1+,155.876,6206
insttrapezioid_30_10_175_2.csv,1+,101.073,6196
insttrapezioid_30_10_180_2.csv,1+,69.241,6186
insttrapezioid_30_10_180_3.csv,1+,82.313,6185
insttrapezioid_30_10_185_2.csv,1+,87.329,6177
insttrapezioid_30_10_80_3.csv,1+,142.618,6385
insttrapezioid_30_10_85_0.csv,1+,126.910,6376
insttrapezioid_30_10_85_2.csv,1+,134.944,6376
insttrapezioid_30_10_95_1.csv,1+,137.307,6356
insttrapezioid_20_15_100_2.csv,1+,111.769,7566
insttrapezioid_20_15_105_1.csv,1+,80.034,7557
insttrapezioid_20_15_105_2.csv,1+,102.959,7555
insttrapezioid_20_15_105_3.csv,1+,133.513,7556
insttrapezioid_20_15_110_1.csv,1+,95.261,7546
insttrapezioid_20_15_110_2.csv,1+,64.888,7546
insttrapezioid_20_15_125_2.csv,1+,102.708,7516
insttrapezioid_20_15_135_0.csv,1+,118.673,7496
insttrapezioid_20_15_140_2.csv,1+,62.249,7485
insttrapezioid_20_15_145_0.csv,1+,146.676,7476
insttrapezioid_20_15_155_3.csv,1+,138.845,7455
insttrapezioid_20_15_160_2.csv,1+,112.365,7445
insttrapezioid_20_15_80_3.csv,1+,92.054,7606
instrectSubFourTwo5_1_0,1+,176.519,2757
instrectSubFourTwo5_10_11,1+,141.182,2739
instrectSubFourTwo5_10_14,1+,132.273,2739
instrectSubFourTwo5_10_15,1+,185.528,2738
instrectSubFourTwo5_10_17,1+,62.428,2739
instrectSubFourTwo5_10_5,1+,63.344,2739
instrectSubFourTwo5_11_11,1+,82.759,2737
instrectSubFourTwo5_11_17,1+,91.899,2737
instrectSubFourTwo5_1_19,1+,90.586,2757
instrectSubFourTwo5_12_0,1+,51.792,2735
instrectSubFourTwo5_12_1,1+,116.331,2734
instrectSubFourTwo5_12_11,1+,102.993,2735
instrectSubFourTwo5_12_15,1+,150.233,2734
instrectSubFourTwo5_12_16,1+,139.465,2735
instrectSubFourTwo5_12_17,1+,159.194,2735
instrectSubFourTwo5_12_18,1+,155.302,2735
instrectSubFourTwo5_12_19,1+,146.394,2735
instrectSubFourTwo5_12_3,1+,121.083,2734
instrectSubFourTwo5_14_0,1+,52.075,2730
instrectSubFourTwo5_14_13,1+,52.818,2731
instrectSubFourTwo5_16_0,1+,47.128,2726
instrectSubFourTwo5_16_1,1+,71.166,2727
instrectSubFourTwo5_16_19,1+,67.974,2727
instrectSubFourTwo5_16_2,1+,123.421,2724
instrectSubFourTwo5_16_4,1+,52.524,2727
instrectSubFourTwo5_16_5,1+,47.258,2726
instrectSubFourTwo5_16_7,1+,112.216,2727
instrectSubFourTwo5_1_7,1+,141.278,2757
instrectSubFourTwo5_18_10,1+,44.890,2723
instrectSubFourTwo5_18_11,1+,136.614,2723
instrectSubFourTwo5_20_14,1+,67.390,2717
instrectSubFourTwo5_20_15,1+,56.383,2719
instrectSubFourTwo5_20_6,1+,62.086,2719
instrectSubFourTwo5_20_7,1+,53.513,2719
instrectSubFourTwo5_20_9,1+,77.169,2719
instrectSubFourTwo5_2_10,1+,65.002,2755
instrectSubFourTwo5_21_0,1+,132.102,2716
instrectSubFourTwo5_2_11,1+,169.986,2755
instrectSubFourTwo5_21_16,1+,134.894,2716
instrectSubFourTwo5_21_17,1+,122.555,2716
instrectSubFourTwo5_21_19,1+,127.408,2716
instrectSubFourTwo5_2_12,1+,45.233,2755
instrectSubFourTwo5_2_13,1+,84.003,2755
instrectSubFourTwo5_2_15,1+,49.611,2755
instrectSubFourTwo5_21_9,1+,70.713,2717
instrectSubFourTwo5_22_14,1+,72.833,2715
instrectSubFourTwo5_22_16,1+,72.270,2714
instrectSubFourTwo5_22_19,1+,112.674,2714
instrectSubFourTwo5_22_2,0+,199.994,2715
instrectSubFourTwo5_22_7,0+,199.993,2714
instrectSubFourTwo5_2_3,1+,153.197,2755
instrectSubFourTwo5_24_10,1+,161.148,2710
instrectSubFourTwo5_24_16,1+,87.736,2709
instrectSubFourTwo5_24_7,1+,65.543,2710
instrectSubFourTwo5_24_8,1+,50.491,2710
instrectSubFourTwo5_24_9,1+,46.615,2710
instrectSubFourTwo5_2_6,1+,157.336,2755
instrectSubFourTwo5_26_10,1+,119.231,2706
instrectSubFourTwo5_26_13,1+,58.050,2706
instrectSubFourTwo5_26_3,1+,132.372,2706
instrectSubFourTwo5_26_7,1+,47.394,2705
instrectSubFourTwo5_28_4,1+,44.381,2702
instrectSubFourTwo5_2_9,1+,68.114,2755
instrectSubFourTwo5_30_12,1+,45.396,2698
instrectSubFourTwo5_30_17,1+,52.503,2699
instrectSubFourTwo5_30_4,1+,164.593,2698
instrectSubFourTwo5_30_7,1+,47.122,2698
instrectSubFourTwo5_31_15,1+,140.222,2696
instrectSubFourTwo5_31_16,1+,68.268,2696
instrectSubFourTwo5_32_17,1+,60.102,2694
instrectSubFourTwo5_34_0,1+,57.218,2690
instrectSubFourTwo5_34_11,1+,50.282,2691
instrectSubFourTwo5_34_19,1+,57.789,2690
instrectSubFourTwo5_36_5,1+,58.985,2684
instrectSubFourTwo5_38_17,1+,56.118,2682
instrectSubFourTwo5_38_2,1+,97.855,2682
instrectSubFourTwo5_4_11,1+,184.652,2751
instrectSubFourTwo5_41_13,1+,173.194,2675
instrectSubFourTwo5_4_12,1+,71.133,2750
instrectSubFourTwo5_4_13,1+,158.818,2751
instrectSubFourTwo5_4_14,1+,139.659,2751
instrectSubFourTwo5_4_17,1+,122.619,2751
